panel	dataset	source_file	ACTIVATION_CONCORDANCE	ACTIVATION_EFFECT	ATTENUATION_CONCORDANCE	ATTENUATION_EFFECT	D1_MEAN	D30_MEAN	D7_MEAN	LODO_retention	N_GENES	PEAK_TIME	QUALITY	RETURN_TOWARD_SKIN_RATIO	SKIN_MEAN	SUBTYPE_SENSITIVITY	activation	activation_concordance	activation_sign_preserved	attenuation	attenuation_concordance	attenuation_sign_preserved	donor	gene	input_type	low_cell_count_warning	module	n_fibroblast_cells	rank	rank_stability	sample_id	score	technical_flag	timepoint
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D1_M2					-0.412168999983127		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M1					-0.592561805995086		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M1					-0.73215540215584		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M1					1.41575450728113		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M1					-0.0910372991302024		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M1					-0.362428779109733		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M1					-0.741105526150732		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M1					1.38689106926576		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M1					-0.283356764005293		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M1					-0.624029666432699		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M1					-0.707569572775471		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M1					1.46884208994983		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M1					-0.137242850741656		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M2					-0.386159187457346		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M2					0.277789941944756		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M2					1.18434552839193		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M2					-1.07597628287934		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M2					-0.363012665964844		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M2					0.182989798241316		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M2					1.18187909148355		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M2					-1.00185622376002		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M2					-0.662569491327698		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M2					0.41346402518964		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M2					1.31312300471738		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M2					-1.06401753857933		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M3					-1.35693129355239		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M3					0.348809111424398		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M3					1.13929374349551		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D7_M3					-0.131171561367519		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M3					-1.26481992352798		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M3					0.212592292461674		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M3					1.14735056447069		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D7_M3					-0.0951229334043836		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M3					-1.26718202063667		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M3					0.16918283938671		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M3					1.17125252762243		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D7_M3					-0.0732533463724684		D30
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.96180012243884	3		3.24378612033459	3			BAALC			D7_M3		1	0.999928209607593			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.07979583633149	3		3.46200298652313	3			IL11			D7_M3		2	0.998141742550566			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.42794669438853	3		3.0086058115074	3			PPP1R14B			D7_M3		3	0.998833858053696			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.806114114017	3		3.22995815771404	3			CCL20			D7_M3		4	0.998472826348045			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.11005684849366	3		3.01568580472205	3			RARRES1			D7_M3		5	0.993206907651168			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.98823034562151	3		2.4833298744064	3			LINC01050			D7_M3		6	0.99780538677503			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.98736258827421	3		2.44526096658752	3			CDKN3			D7_M3		7	0.998735054165964			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.61516837394323	3		3.22246526616457	3			E2F7			D7_M3		8	0.997427471545543			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.45031984011469	3		2.10544471364064	3			IL23A			D7_M3		9	0.991194076375318			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.9366569279205	3		2.34319280549532	3			SPHK1			D7_M3		10	0.997788298966819			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.4731693883104	3		3.01781539690059	3			DCLK3			D7_M3		11	0.97537691728554			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.96453185988378	3		2.50973579534776	3			UHRF1			D7_M3		12	0.995416906413141			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.42446409654194	3		1.57678411620679	3			SPOCD1			D7_M3		13	0.995966573965225			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.75635814524998	3		2.51134828689381	3			AVEN			D7_M3		14	0.997006114103584			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.79910406961028	3		2.28939519567405	3			SRM			D7_M3		15	0.999455237939539			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.19671053249159	3		2.61257555794655	3			GINS2			D7_M3		16	0.996895400638563			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.02144119876135	3		2.08313830874364	3			HMGA2			D7_M3		17	0.995218576155143			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.65703703752416	3		2.25089074563788	3			COTL1			D7_M3		18	0.997837616550686			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.74132259115583	3		2.10832773552015	3			METRN			D7_M3		19	0.997336731812123			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							5.11931457951759	3		1.07022474410749	3			BCAT1			D7_M3		20	0.99473813587983			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.91026558410061	3		2.35687641587394	3			UBE2M			D7_M3		21	0.99456173289672			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.58188962711845	3		1.36446472556713	3			POPDC3			D7_M3		22	0.996475800545237			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.39718867293675	3		2.02016087220249	3			INHBA			D7_M3		23	0.99531843681112			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.28652199243	3		1.98992998159452	3			ATAD3A			D7_M3		24	0.996098343395171			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							4.14333961747982	3		1.43237129269962	3			MYG1-AS1			D7_M3		25	0.998149717440404			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.45570646778527	3		1.76004768130212	3			LINC01060			D7_M3		26	0.996861463047484			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.49378973041029	3		1.5467696681504	3			C3orf80			D7_M3		27	0.987488270208305			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.36447702719951	3		2.1543430671189	3			MCM4			D7_M3		28	0.996391415724711			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.67651706837926	3		1.95870917171376	3			SLC2A6			D7_M3		29	0.965484408798444			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.49992695501093	3		1.97941731780885	3			TEDC2			D7_M3		30	0.98972269100812			NO	
